iso,compare,base,abs_diff,rel_pct,table,part,sign
BRB,28575.04631,17964.836799994184,-10610.209510005818,-37.1,1,A,base<compare
GRD,15890.18153,10074.98826653533,-5815.193263464669,-36.6,1,A,base<compare
TKM,10348.43538,4761.854441454873,-5586.580938545128,-54.0,1,A,base<compare
SUR,9658.513353,6128.516605323683,-3529.9967476763177,-36.5,1,A,base<compare
TON,7640.226212,4221.015684462499,-3419.2105275375006,-44.8,1,A,base<compare
BLZ,8980.72186,6254.342072525326,-2726.3797874746733,-30.4,1,A,base<compare
WSM,6540.891276,3831.106528369388,-2709.7847476306124,-41.4,1,A,base<compare
VUT,5330.670779,3500.0149050854684,-1830.655873914532,-34.3,1,A,base<compare
KIR,3829.675248,2265.5517845753343,-1564.1234634246655,-40.8,1,A,base<compare
GTM,5588.835627,4061.586435234751,-1527.2491917652496,-27.3,1,A,base<compare
GUY,3727.134093,2536.380977609428,-1190.7531153905725,-31.9,1,A,base<compare
GHA,1658.091419,1208.01438798675,-450.07703101325,-27.1,1,A,base<compare
GNQ,14912.66986,24813.62470952421,9900.954849524214,66.4,1,A,base>compare
CYP,18240.10068,24408.041684,6167.941004,33.8,1,A,base>compare
BHR,22013.14226,28068.47167912529,6055.32941912529,27.5,1,A,base>compare
KNA,10494.75698,15703.620994899533,5208.864014899533,49.6,1,A,base>compare
DMA,5926.801137,9095.026393079715,3168.225256079715,53.5,1,A,base>compare
GAB,10120.31643,13014.26413683032,2893.9477068303204,28.6,1,A,base>compare
VCT,6318.151117,8852.103267633938,2533.952150633938,40.1,1,A,base>compare
MNE,5735.877019,8238.394198467833,2502.5171794678336,43.6,1,A,base>compare
ZAF,6766.794533,8596.830871440385,1830.0363384403845,27.0,1,A,base>compare
SWZ,3284.107029,4904.799831998844,1620.692802998844,49.3,1,A,base>compare
TUN,5667.37771,7182.365624867766,1514.9879148677664,26.7,1,A,base>compare
BIH,4828.065757,6340.872300879609,1512.8065438796084,31.3,1,A,base>compare
COG,2183.40273,3381.1883226402365,1197.7855926402367,54.9,1,A,base>compare
MDV,4133.13677,5290.116145281936,1156.979375281936,28.0,1,A,base>compare
NIC,2189.424307,3030.36334272447,840.9390357244697,38.4,1,A,base>compare
SLB,1586.086676,2072.775217052082,486.6885410520822,30.7,1,A,base>compare
GMB,1110.031872,1568.9215526243452,458.8896806243452,41.3,1,A,base>compare
CIV,1298.499176,1666.0096059390205,367.5104299390202,28.3,1,A,base>compare
GNB,774.5184738,1016.693781433435,242.17530763343493,31.3,1,A,base>compare
MWI,481.4176003,644.8367235753126,163.4191232753126,33.9,1,A,base>compare
ETH,475.1066606,636.0687043505732,160.96204375057317,33.9,1,A,base>compare
CAF,532.3156216,672.0041827937243,139.68856119372435,26.2,1,A,base>compare
BDI,372.5991953,485.89034536707936,113.29115006707934,30.4,1,A,base>compare
ZAR,207.4695252,276.9935080141201,69.52398281412016,33.5,1,A,base>compare
AUS,38383.84218,32523.088110120825,-5860.754069879175,-15.3,1,B,base<compare
ISL,40447.92832,34889.1875401664,-5558.740779833599,-13.7,1,B,base<compare
LUX,73242.96698,68290.30821737784,-4952.658762622159,-6.8,1,B,base<compare
SYC,22861.27779,18002.515015209992,-4858.762774790008,-21.3,1,B,base<compare
LBY,17896.76536,14015.36563312623,-3881.399726873771,-21.7,1,B,base<compare
TTO,23332.7549,20058.236911932712,-3274.517988067288,-14.0,1,B,base<compare
AUT,36150.99452,33626.386832180535,-2524.6076878194654,-7.0,1,B,base<compare
LCA,11735.87501,9220.135702909816,-2515.7393070901835,-21.4,1,B,base<compare
ARE,62640.93332,66854.72186408594,4213.788544085939,6.7,1,B,base>compare
HKG,32527.14758,36440.073101053815,3912.925521053814,12.0,1,B,base>compare
SGP,41988.61672,45374.23754781624,3385.6208278162376,8.1,1,B,base>compare
ATG,15007.77247,18170.746713762,3162.974243761997,21.1,1,B,base>compare
OMN,17927.26169,21047.463619958467,3120.201929958468,17.4,1,B,base>compare
TON,7822.967079,4138.926656170079,-3684.040422829921,-47.1,2,A,base<compare
SUR,9283.114469,6128.516605323683,-3154.597863676317,-34.0,2,A,base<compare
WSM,6663.806634,3831.106528369388,-2832.700105630612,-42.5,2,A,base<compare
BLZ,9026.247538,6254.342072525318,-2771.905465474681,-30.7,2,A,base<compare
VUT,5354.259569,3500.0149050854684,-1854.2446639145317,-34.6,2,A,base<compare
GTM,5629.315335,4061.586435234751,-1567.7288997652497,-27.8,2,A,base<compare
KIR,3715.222314,2341.633415187252,-1373.588898812748,-37.0,2,A,base<compare
GUY,3760.526113,2536.380977609428,-1224.1451353905722,-32.6,2,A,base<compare
ARE,47688.86746,66854.72186408594,19165.85440408593,40.2,2,A,base>compare
GNQ,15411.48454,24813.40654900859,9401.92200900859,61.0,2,A,base>compare
CYP,18378.81983,24431.273447769385,6052.453617769384,32.9,2,A,base>compare
BHR,22381.59809,28068.47167894487,5686.873588944869,25.4,2,A,base>compare
DMA,5028.139867,9259.085996607884,4230.946129607884,84.1,2,A,base>compare
VCT,5118.535093,8852.103267633938,3733.568174633938,72.9,2,A,base>compare
GAB,10298.28608,13014.264136904225,2715.978056904223,26.4,2,A,base>compare
MNE,5886.415527,8246.222033080896,2359.806506080896,40.1,2,A,base>compare
TUN,5379.457754,7182.365624828759,1802.9078708287589,33.5,2,A,base>compare
BIH,4982.069803,6239.958541165655,1257.888738165655,25.2,2,A,base>compare
SWZ,3316.344093,4516.44974298632,1200.1056499863205,36.2,2,A,base>compare
COG,2188.299078,3381.188322604495,1192.8892446044952,54.5,2,A,base>compare
SLB,1427.147491,2072.775217052082,645.6277260520822,45.2,2,A,base>compare
CIV,1328.604982,1666.009605954503,337.404623954503,25.4,2,A,base>compare
GNB,793.7350444,1016.6937814373886,222.95873703738857,28.1,2,A,base>compare
ZAR,217.8756728,273.6191829645661,55.74351016456612,25.6,2,A,base>compare
QAT,87399.83591,69512.33140687688,-17887.504503123113,-20.5,2,B,base<compare
AUS,38387.13304,32719.025007473247,-5668.108032526754,-14.8,2,B,base<compare
BRB,23367.30642,17964.836799994184,-5402.469620005817,-23.1,2,B,base<compare
SYC,22588.16951,17352.223693927503,-5235.945816072497,-23.2,2,B,base<compare
ISL,39894.58256,34889.1875401664,-5005.395019833602,-12.5,2,B,base<compare
LBY,18013.05034,14015.36563312623,-3997.684706873772,-22.2,2,B,base<compare
NLD,38284.17056,35104.48753030957,-3179.68302969043,-8.3,2,B,base<compare
TTO,22914.10553,20058.236911932712,-2855.8686180672885,-12.5,2,B,base<compare
LCA,11762.72493,8915.76826210452,-2846.95666789548,-24.2,2,B,base<compare
LUX,71160.49821,68319.63721213579,-2840.86099786422,-4.0,2,B,base<compare
GRD,12644.26086,10031.494190904456,-2612.766669095543,-20.7,2,B,base<compare
ATG,14913.52339,18556.03466850633,3642.511278506334,24.4,2,B,base>compare
SGP,41864.90037,45374.23754785957,3509.3371778595683,8.4,2,B,base>compare
OMN,18392.67193,21047.463619579063,2654.791689579066,14.4,2,B,base>compare
HKG,33083.16627,35677.91850523807,2594.7522352380693,7.8,2,B,base>compare
QAT,71158.08034,6433.34,-64724.740340000004,-91.0,3,A,base<compare
LUX,73242.96698,26375.28,-46867.68698,-64.0,3,A,base<compare
ISL,40447.92832,773.34,-39674.58832,-98.1,3,A,base<compare
IRL,40247.22235,4165.21,-36082.01235,-89.7,3,A,base<compare
CAN,36653.89691,2799.3,-33854.59691,-92.4,3,A,base<compare
GBR,33982.90821,1321.1,-32661.808210000003,-96.1,3,A,base<compare
BHS,32374.2962,1518.93,-30855.3662,-95.3,3,A,base<compare
BRN,48775.90886,18634.91,-30140.998860000003,-61.8,3,A,base<compare
ARE,62640.93332,34039.44,-28601.493319999994,-45.7,3,A,base<compare
FIN,32293.144,4880.38,-27412.764,-84.9,3,A,base<compare
SGP,41988.61672,15393.48,-26595.13672,-63.3,3,A,base<compare
ESP,28325.37741,3048.2,-25277.17741,-89.2,3,A,base<compare
BEL,33892.67915,9578.52,-24314.159150000003,-71.7,3,A,base<compare
ITA,29561.74119,6235.52,-23326.22119,-78.9,3,A,base<compare
DNK,34677.4791,13309.61,-21367.869099999996,-61.6,3,A,base<compare
FRA,31230.27351,10201.15,-21029.123509999998,-67.3,3,A,base<compare
SVN,22908.74196,2325.9,-20582.841959999998,-89.8,3,A,base<compare
TTO,23332.7549,4969.34,-18363.4149,-78.7,3,A,base<compare
BRB,28575.04631,11010.79,-17564.25631,-61.5,3,A,base<compare
NZL,27253.9382,9735.22,-17518.718200000003,-64.3,3,A,base<compare
KWT,48940.23044,32059.09,-16881.14044,-34.5,3,A,base<compare
USA,42482.38762,25848.61,-16633.77762,-39.2,3,A,base<compare
CYP,18240.10068,2202.23,-16037.87068,-87.9,3,A,base<compare
MAC,36939.01942,21663.28,-15275.739419999998,-41.4,3,A,base<compare
SYC,22861.27779,12963.22,-9898.05779,-43.3,3,A,base<compare
PRT,19949.4889,11494.34,-8455.1489,-42.4,3,A,base<compare
GAB,10120.31643,2738.75,-7381.566430000001,-72.9,3,A,base<compare
ATG,15007.77247,8222.92,-6784.85247,-45.2,3,A,base<compare
HUN,16475.81996,10336.43,-6139.38996,-37.3,3,A,base<compare
LVA,12030.62692,6419.92,-5610.7069200000005,-46.6,3,A,base<compare
KAZ,8791.088514,3646.14,-5144.948514,-58.5,3,A,base<compare
MKD,6573.246577,1758.25,-4814.996577,-73.3,3,A,base<compare
PER,5561.445909,844.13,-4717.315909,-84.8,3,A,base<compare
SEN,1415.500169,48603.21,47187.709831,3333.6,3,A,base>compare
ERI,704.6020363,47005.2,46300.5979637,6571.2,3,A,base>compare
HND,3298.896446,49350.9,46052.003554,1396.0,3,A,base>compare
YEM,2240.141968,46868.13,44627.988031999994,1992.2,3,A,base>compare
CHN,4335.119467,48298.79,43963.670533,1014.1,3,A,base>compare
MAR,2998.459093,46520.03,43521.570907,1451.5,3,A,base>compare
NPL,980.9731549,43637.3,42656.326845100004,4348.4,3,A,base>compare
ALB,4938.805347,47560.36,42621.554653,863.0,3,A,base>compare
SLV,5888.375043,48494.44,42606.064957,723.6,3,A,base>compare
KGZ,1889.665893,44417.03,42527.364107,2250.5,3,A,base>compare
NIC,2189.424307,44681.67,42492.245693,1940.8,3,A,base>compare
FJI,4431.406909,46132.77,41701.363091,941.0,3,A,base>compare
SRB,7177.238938,48141.14,40963.901062,570.7,3,A,base>compare
BGD,1085.531188,41705.91,40620.378812,3742.0,3,A,base>compare
MOZ,628.4671567,40501.96,39873.4928433,6344.6,3,A,base>compare
PRY,3435.351221,43106.16,39670.808779000006,1154.8,3,A,base>compare
SUR,9658.513353,49289.7,39631.186646999995,410.3,3,A,base>compare
NGA,1510.74653,40468.29,38957.543470000004,2578.7,3,A,base>compare
PNG,2234.376083,40991.73,38757.353917,1734.6,3,A,base>compare
BFA,848.8706887,39366.21,38517.3393113,4537.5,3,A,base>compare
IND,2491.526848,40865.34,38373.813151999995,1540.2,3,A,base>compare
LSO,1180.610478,38158.86,36978.249522,3132.1,3,A,base>compare
GUY,3727.134093,40208.75,36481.615907,978.8,3,A,base>compare
CHL,11068.38508,47469.83,36401.44492,328.9,3,A,base>compare
TUN,5667.37771,41847.47,36180.09229,638.4,3,A,base>compare
TJK,1493.448083,36546.71,35053.261916999996,2347.1,3,A,base>compare
IRQ,3656.383649,38677.88,35021.496350999994,957.8,3,A,base>compare
KNA,10494.75698,45459.16,34964.403020000005,333.2,3,A,base>compare
RUS,12214.86125,47174.03,34959.16875,286.2,3,A,base>compare
JAM,8992.778333,43223.62,34230.841667,380.6,3,A,base>compare
COL,6490.991627,40515.67,34024.678372999995,524.2,3,A,base>compare
STP,1297.600234,35299.44,34001.839766000005,2620.4,3,A,base>compare
IDN,3224.11536,35489.44,32265.324640000003,1000.7,3,A,base>compare
COG,2183.40273,34369.53,32186.127269999997,1474.1,3,A,base>compare
DJI,2009.542884,33294.85,31285.307116,1556.8,3,A,base>compare
TGO,725.4287709,31859.72,31134.291229100003,4291.8,3,A,base>compare
AZE,4659.001281,35549.59,30890.588718999996,663.0,3,A,base>compare
DZA,5988.778111,36733.7,30744.921888999997,513.4,3,A,base>compare
UZB,1906.571995,32436.05,30529.478005,1601.3,3,A,base>compare
ETH,475.1066606,30096.05,29620.9433394,6234.6,3,A,base>compare
SLB,1586.086676,30673.43,29087.343324,1833.9,3,A,base>compare
EST,15962.3545,44793.95,28831.595499999996,180.6,3,A,base>compare
CMR,1742.694249,29824.52,28081.825751,1611.4,3,A,base>compare
LBR,378.1041342,28283.22,27905.115865800002,7380.3,3,A,base>compare
IRN,8720.964225,36585.85,27864.885775,319.5,3,A,base>compare
CPV,2845.919007,30573.47,27727.550993,974.3,3,A,base>compare
NAM,4244.887251,31853.49,27608.602749,650.4,3,A,base>compare
AGO,3055.026874,30133.59,27078.563126,886.4,3,A,base>compare
NER,502.5072581,27197.44,26694.9327419,5312.3,3,A,base>compare
GIN,837.1232491,27363.46,26526.336750899998,3168.7,3,A,base>compare
BHR,22013.14226,48510.54,26497.39774,120.4,3,A,base>compare
MEX,11641.86206,37899.78,26257.91794,225.5,3,A,base>compare
LBN,9778.505944,35805.62,26027.114056000002,266.2,3,A,base>compare
BIH,4828.065757,30786.72,25958.654243,537.7,3,A,base>compare
VEN,8920.901031,34701.42,25780.518968999997,289.0,3,A,base>compare
BEN,1136.409613,26475.44,25339.030387,2229.7,3,A,base>compare
CZE,20346.88421,45511.36,25164.47579,123.7,3,A,base>compare
MLT,20313.79968,45424.54,25110.74032,123.6,3,A,base>compare
THA,6965.667682,31799.14,24833.472318,356.5,3,A,base>compare
MLI,870.4906953,25674.25,24803.7593047,2849.4,3,A,base>compare
KHM,1489.046957,25954.6,24465.553043,1643.0,3,A,base>compare
SLE,727.0988185,25113.8,24386.7011815,3354.0,3,A,base>compare
GNQ,14912.66986,38869.07,23956.400139999998,160.6,3,A,base>compare
UKR,5876.115811,29749.2,23873.084189,406.3,3,A,base>compare
PHL,2787.847583,25781.99,22994.142417000003,824.8,3,A,base>compare
SDN,1832.723858,24727.91,22895.186142,1249.2,3,A,base>compare
LAO,1727.064473,23874.64,22147.575527,1282.4,3,A,base>compare
ECU,5519.978051,27562.16,22042.181948999998,399.3,3,A,base>compare
MYS,10482.19905,32002.32,21520.12095,205.3,3,A,base>compare
LBY,17896.76536,38662.88,20766.114639999996,116.0,3,A,base>compare
WSM,6540.891276,26180.14,19639.248723999997,300.3,3,A,base>compare
TON,7640.226212,27020.85,19380.623787999997,253.7,3,A,base>compare
BTN,3037.972484,21881.28,18843.307516,620.3,3,A,base>compare
ZAF,6766.794533,25382.61,18615.815467,275.1,3,A,base>compare
DOM,7895.8632,26243.37,18347.5068,232.4,3,A,base>compare
AFG,775.734064,19039.74,18264.005936,2354.4,3,A,base>compare
TZA,931.7556461,18705.27,17773.514353900002,1907.5,3,A,base>compare
VNM,2088.371997,19643.4,17555.028003,840.6,3,A,base>compare
GRC,25308.15661,41522.51,16214.353390000004,64.1,3,A,base>compare
GEO,3732.469711,19739.53,16007.060289,428.9,3,A,base>compare
RWA,813.8927929,16498.55,15684.6572071,1927.1,3,A,base>compare
GMB,1110.031872,16603.85,15493.818127999999,1395.8,3,A,base>compare
KEN,1143.731166,15893.62,14749.888834000001,1289.6,3,A,base>compare
COM,939.8249878,15578.38,14638.555012199999,1557.6,3,A,base>compare
BGR,8903.995493,23075.46,14171.464506999999,159.2,3,A,base>compare
KOR,22577.33468,36615.51,14038.175320000002,62.2,3,A,base>compare
PAN,7785.974577,21641.84,13855.865423,178.0,3,A,base>compare
KIR,3829.675248,16596.57,12766.894752,333.4,3,A,base>compare
JOR,4248.751942,16879.45,12630.698058000002,297.3,3,A,base>compare
MUS,8360.472852,20813.95,12453.477148,149.0,3,A,base>compare
CRI,9939.315785,22287.55,12348.234214999999,124.2,3,A,base>compare
GHA,1658.091419,13931.78,12273.688581,740.2,3,A,base>compare
